year,round,date,quali_pos,points,statusId,position,dob,driver_nationality,constructor,constructor_nationality,GP_name,country,driver
2005,1,2005-03-06,13,6.0,1,13,1981-07-29,Spanish,Renault,French,Albert Park Grand Prix Circuit,Australia,Fernando Alonso
2004,1,2004-03-07,5,6.0,1,5,1981-07-29,Spanish,Renault,French,Albert Park Grand Prix Circuit,Australia,Fernando Alonso
2003,1,2003-03-09,10,2.0,1,10,1981-07-29,Spanish,Renault,French,Albert Park Grand Prix Circuit,Australia,Fernando Alonso
2011,1,2011-03-27,18,0.0,11,18,1977-05-10,German,Renault,French,Albert Park Grand Prix Circuit,Australia,Nick Heidfeld
2007,1,2007-03-18,6,4.0,1,6,1973-01-14,Italian,Renault,French,Albert Park Grand Prix Circuit,Australia,Giancarlo Fisichella
2006,3,2006-04-02,2,4.0,1,2,1973-01-14,Italian,Renault,French,Albert Park Grand Prix Circuit,Australia,Giancarlo Fisichella
2005,1,2005-03-06,1,10.0,1,1,1973-01-14,Italian,Renault,French,Albert Park Grand Prix Circuit,Australia,Giancarlo Fisichella
2010,2,2010-03-28,9,18.0,1,9,1984-12-07,Polish,Renault,French,Albert Park Grand Prix Circuit,Australia,Robert Kubica
2009,1,2009-03-29,14,0.0,20,17,1985-07-25,Brazilian,Renault,French,Albert Park Grand Prix Circuit,Australia,Nelson Piquet Jr.
2008,1,2008-03-16,20,0.0,8,21,1985-07-25,Brazilian,Renault,French,Albert Park Grand Prix Circuit,Australia,Nelson Piquet Jr.
2007,1,2007-03-18,13,0.0,11,13,1981-10-19,Finnish,Renault,French,Albert Park Grand Prix Circuit,Australia,Heikki Kovalainen
2017,1,2017-03-26,11,0.0,11,12,1987-08-19,German,Renault,French,Albert Park Grand Prix Circuit,Australia,Nico Hülkenberg
2018,1,2018-03-25,7,6.0,1,8,1987-08-19,German,Renault,French,Albert Park Grand Prix Circuit,Australia,Nico Hülkenberg
2019,1,2019-03-17,11,6.0,11,11,1987-08-19,German,Renault,French,Albert Park Grand Prix Circuit,Australia,Nico Hülkenberg
2010,2,2010-03-28,18,0.0,20,18,1984-09-08,Russian,Renault,French,Albert Park Grand Prix Circuit,Australia,Vitaly Petrov
2011,1,2011-03-27,6,15.0,1,6,1984-09-08,Russian,Renault,French,Albert Park Grand Prix Circuit,Australia,Vitaly Petrov
2019,1,2019-03-17,12,0.0,137,12,1989-07-01,Australian,Renault,French,Albert Park Grand Prix Circuit,Australia,Daniel Ricciardo
2016,1,2016-03-20,14,0.0,1,15,1992-10-05,Danish,Renault,French,Albert Park Grand Prix Circuit,Australia,Kevin Magnussen
2018,1,2018-03-25,9,1.0,1,9,1994-09-01,Spanish,Renault,French,Albert Park Grand Prix Circuit,Australia,Carlos Sainz
2016,1,2016-03-20,13,0.0,1,14,1991-01-20,British,Renault,French,Albert Park Grand Prix Circuit,Australia,Jolyon Palmer
2017,1,2017-03-26,19,0.0,23,20,1991-01-20,British,Renault,French,Albert Park Grand Prix Circuit,Australia,Jolyon Palmer
2000,1,2000-03-12,9,2.0,1,9,1973-01-14,Italian,Benetton,Italian,Albert Park Grand Prix Circuit,Australia,Giancarlo Fisichella
1999,1,1999-03-07,7,3.0,1,7,1973-01-14,Italian,Benetton,Italian,Albert Park Grand Prix Circuit,Australia,Giancarlo Fisichella
1998,1,1998-03-08,7,0.0,41,7,1973-01-14,Italian,Benetton,Italian,Albert Park Grand Prix Circuit,Australia,Giancarlo Fisichella
2000,1,2000-03-12,14,0.0,1,14,1974-02-15,Austrian,Benetton,Italian,Albert Park Grand Prix Circuit,Australia,Alexander Wurz
1999,1,1999-03-07,10,0.0,22,10,1974-02-15,Austrian,Benetton,Italian,Albert Park Grand Prix Circuit,Australia,Alexander Wurz
1998,1,1998-03-08,11,0.0,11,11,1974-02-15,Austrian,Benetton,Italian,Albert Park Grand Prix Circuit,Australia,Alexander Wurz
1997,1,1997-03-09,8,0.0,74,8,1964-06-11,French,Benetton,Italian,Albert Park Grand Prix Circuit,Australia,Jean Alesi
1996,1,1996-03-10,6,0.0,4,6,1964-06-11,French,Benetton,Italian,Albert Park Grand Prix Circuit,Australia,Jean Alesi
1997,1,1997-03-09,10,3.0,1,10,1959-08-27,Austrian,Benetton,Italian,Albert Park Grand Prix Circuit,Australia,Gerhard Berger
1996,1,1996-03-10,7,3.0,1,7,1959-08-27,Austrian,Benetton,Italian,Albert Park Grand Prix Circuit,Australia,Gerhard Berger
2000,1,2000-03-12,21,0.0,5,21,1980-01-19,British,Williams,British,Albert Park Grand Prix Circuit,Australia,Jenson Button
2010,2,2010-03-28,8,4.0,1,8,1972-05-23,Brazilian,Williams,British,Albert Park Grand Prix Circuit,Australia,Rubens Barrichello
2011,1,2011-03-27,17,0.0,7,17,1972-05-23,Brazilian,Williams,British,Albert Park Grand Prix Circuit,Australia,Rubens Barrichello
2009,1,2009-03-29,5,3.0,1,5,1985-06-27,German,Williams,British,Albert Park Grand Prix Circuit,Australia,Nico Rosberg
2008,1,2008-03-16,7,6.0,1,7,1985-06-27,German,Williams,British,Albert Park Grand Prix Circuit,Australia,Nico Rosberg
2007,1,2007-03-18,12,2.0,11,12,1985-06-27,German,Williams,British,Albert Park Grand Prix Circuit,Australia,Nico Rosberg
2006,3,2006-04-02,14,0.0,3,15,1985-06-27,German,Williams,British,Albert Park Grand Prix Circuit,Australia,Nico Rosberg
2005,1,2005-03-06,7,0.0,3,7,1977-05-10,German,Williams,British,Albert Park Grand Prix Circuit,Australia,Nick Heidfeld
2006,3,2006-04-02,7,0.0,7,7,1976-08-27,Australian,Williams,British,Albert Park Grand Prix Circuit,Australia,Mark Webber
2005,1,2005-03-06,3,4.0,1,3,1976-08-27,Australian,Williams,British,Albert Park Grand Prix Circuit,Australia,Mark Webber
2019,1,2019-03-17,20,0.0,13,20,1984-12-07,Polish,Williams,British,Albert Park Grand Prix Circuit,Australia,Robert Kubica
2014,1,2014-03-16,9,0.0,4,9,1981-04-25,Brazilian,Williams,British,Albert Park Grand Prix Circuit,Australia,Felipe Massa
2015,1,2015-03-15,3,12.0,1,3,1981-04-25,Brazilian,Williams,British,Albert Park Grand Prix Circuit,Australia,Felipe Massa
2016,1,2016-03-20,6,10.0,1,6,1981-04-25,Brazilian,Williams,British,Albert Park Grand Prix Circuit,Australia,Felipe Massa
2017,1,2017-03-26,7,8.0,1,7,1981-04-25,Brazilian,Williams,British,Albert Park Grand Prix Circuit,Australia,Felipe Massa
2009,1,2009-03-29,11,0.0,3,13,1985-01-11,Japanese,Williams,British,Albert Park Grand Prix Circuit,Australia,Kazuki Nakajima
2008,1,2008-03-16,13,3.0,11,14,1985-01-11,Japanese,Williams,British,Albert Park Grand Prix Circuit,Australia,Kazuki Nakajima
2004,1,2004-03-07,8,5.0,1,8,1975-06-30,German,Williams,British,Albert Park Grand Prix Circuit,Australia,Ralf Schumacher
2003,1,2003-03-09,9,1.0,1,9,1975-06-30,German,Williams,British,Albert Park Grand Prix Circuit,Australia,Ralf Schumacher
2000,1,2000-03-12,11,4.0,1,11,1975-06-30,German,Williams,British,Albert Park Grand Prix Circuit,Australia,Ralf Schumacher
1999,1,1999-03-07,8,4.0,1,8,1975-06-30,German,Williams,British,Albert Park Grand Prix Circuit,Australia,Ralf Schumacher
2007,1,2007-03-18,15,0.0,4,15,1974-02-15,Austrian,Williams,British,Albert Park Grand Prix Circuit,Australia,Alexander Wurz
2004,1,2004-03-07,3,4.0,1,3,1975-09-20,Colombian,Williams,British,Albert Park Grand Prix Circuit,Australia,Juan Pablo Montoya
2003,1,2003-03-09,3,8.0,1,3,1975-09-20,Colombian,Williams,British,Albert Park Grand Prix Circuit,Australia,Juan Pablo Montoya
1998,1,1998-03-08,4,2.0,11,4,1971-04-09,Canadian,Williams,British,Albert Park Grand Prix Circuit,Australia,Jacques Villeneuve
1997,1,1997-03-09,1,0.0,4,1,1971-04-09,Canadian,Williams,British,Albert Park Grand Prix Circuit,Australia,Jacques Villeneuve
1996,1,1996-03-10,1,6.0,1,1,1971-04-09,Canadian,Williams,British,Albert Park Grand Prix Circuit,Australia,Jacques Villeneuve
1998,1,1998-03-08,6,4.0,11,6,1967-05-18,German,Williams,British,Albert Park Grand Prix Circuit,Australia,Heinz-Harald Frentzen
1997,1,1997-03-09,2,0.0,23,2,1967-05-18,German,Williams,British,Albert Park Grand Prix Circuit,Australia,Heinz-Harald Frentzen
1999,1,1999-03-07,15,0.0,20,15,1966-10-23,Italian,Williams,British,Albert Park Grand Prix Circuit,Australia,Alessandro Zanardi
1996,1,1996-03-10,2,10.0,1,2,1960-09-17,British,Williams,British,Albert Park Grand Prix Circuit,Australia,Damon Hill
2010,2,2010-03-28,15,0.0,4,15,1987-08-19,German,Williams,British,Albert Park Grand Prix Circuit,Australia,Nico Hülkenberg
2012,1,2012-03-18,14,0.0,4,14,1983-10-15,Brazilian,Williams,British,Albert Park Grand Prix Circuit,Australia,Bruno Senna
2011,1,2011-03-27,15,0.0,7,15,1985-03-09,Venezuelan,Williams,British,Albert Park Grand Prix Circuit,Australia,Pastor Maldonado
2012,1,2012-03-18,8,0.0,3,8,1985-03-09,Venezuelan,Williams,British,Albert Park Grand Prix Circuit,Australia,Pastor Maldonado
2013,1,2013-03-17,17,0.0,20,17,1985-03-09,Venezuelan,Williams,British,Albert Park Grand Prix Circuit,Australia,Pastor Maldonado
2013,1,2013-03-17,16,0.0,11,16,1989-08-28,Finnish,Williams,British,Albert Park Grand Prix Circuit,Australia,Valtteri Bottas
2014,1,2014-03-16,15,10.0,1,10,1989-08-28,Finnish,Williams,British,Albert Park Grand Prix Circuit,Australia,Valtteri Bottas
2015,1,2015-03-15,0,0.0,54,6,1989-08-28,Finnish,Williams,British,Albert Park Grand Prix Circuit,Australia,Valtteri Bottas
2016,1,2016-03-20,16,4.0,1,11,1989-08-28,Finnish,Williams,British,Albert Park Grand Prix Circuit,Australia,Valtteri Bottas
2017,1,2017-03-26,20,0.0,23,19,1998-10-29,Canadian,Williams,British,Albert Park Grand Prix Circuit,Australia,Lance Stroll
2018,1,2018-03-25,13,0.0,1,14,1998-10-29,Canadian,Williams,British,Albert Park Grand Prix Circuit,Australia,Lance Stroll
2018,1,2018-03-25,19,0.0,23,19,1995-08-27,Russian,Williams,British,Albert Park Grand Prix Circuit,Australia,Sergey Sirotkin
2019,1,2019-03-17,19,0.0,12,19,1998-02-15,British,Williams,British,Albert Park Grand Prix Circuit,Australia,George Russell
2010,2,2010-03-28,4,25.0,1,4,1980-01-19,British,McLaren,British,Albert Park Grand Prix Circuit,Australia,Jenson Button
2011,1,2011-03-27,4,8.0,1,4,1980-01-19,British,McLaren,British,Albert Park Grand Prix Circuit,Australia,Jenson Button
2012,1,2012-03-18,2,25.0,1,2,1980-01-19,British,McLaren,British,Albert Park Grand Prix Circuit,Australia,Jenson Button
2013,1,2013-03-17,10,2.0,1,10,1980-01-19,British,McLaren,British,Albert Park Grand Prix Circuit,Australia,Jenson Button
2014,1,2014-03-16,10,15.0,1,11,1980-01-19,British,McLaren,British,Albert Park Grand Prix Circuit,Australia,Jenson Button
2015,1,2015-03-15,16,0.0,12,17,1980-01-19,British,McLaren,British,Albert Park Grand Prix Circuit,Australia,Jenson Button
2016,1,2016-03-20,12,0.0,11,13,1980-01-19,British,McLaren,British,Albert Park Grand Prix Circuit,Australia,Jenson Button
2007,1,2007-03-18,2,8.0,1,2,1981-07-29,Spanish,McLaren,British,Albert Park Grand Prix Circuit,Australia,Fernando Alonso
2016,1,2016-03-20,11,0.0,4,12,1981-07-29,Spanish,McLaren,British,Albert Park Grand Prix Circuit,Australia,Fernando Alonso
2017,1,2017-03-26,12,0.0,76,13,1981-07-29,Spanish,McLaren,British,Albert Park Grand Prix Circuit,Australia,Fernando Alonso
2018,1,2018-03-25,10,10.0,1,11,1981-07-29,Spanish,McLaren,British,Albert Park Grand Prix Circuit,Australia,Fernando Alonso
2006,3,2006-04-02,4,8.0,1,4,1979-10-17,Finnish,McLaren,British,Albert Park Grand Prix Circuit,Australia,Kimi Räikkönen
2005,1,2005-03-06,10,1.0,1,10,1979-10-17,Finnish,McLaren,British,Albert Park Grand Prix Circuit,Australia,Kimi Räikkönen
2004,1,2004-03-07,10,0.0,5,10,1979-10-17,Finnish,McLaren,British,Albert Park Grand Prix Circuit,Australia,Kimi Räikkönen
2003,1,2003-03-09,15,6.0,1,15,1979-10-17,Finnish,McLaren,British,Albert Park Grand Prix Circuit,Australia,Kimi Räikkönen
2009,1,2009-03-29,12,0.0,4,14,1981-10-19,Finnish,McLaren,British,Albert Park Grand Prix Circuit,Australia,Heikki Kovalainen
2008,1,2008-03-16,3,4.0,1,3,1981-10-19,Finnish,McLaren,British,Albert Park Grand Prix Circuit,Australia,Heikki Kovalainen
2009,1,2009-03-29,18,0.0,2,15,1985-01-07,British,McLaren,British,Albert Park Grand Prix Circuit,Australia,Lewis Hamilton
2008,1,2008-03-16,1,10.0,1,1,1985-01-07,British,McLaren,British,Albert Park Grand Prix Circuit,Australia,Lewis Hamilton
2007,1,2007-03-18,4,6.0,1,4,1985-01-07,British,McLaren,British,Albert Park Grand Prix Circuit,Australia,Lewis Hamilton
2010,2,2010-03-28,11,8.0,1,11,1985-01-07,British,McLaren,British,Albert Park Grand Prix Circuit,Australia,Lewis Hamilton
2011,1,2011-03-27,2,18.0,1,2,1985-01-07,British,McLaren,British,Albert Park Grand Prix Circuit,Australia,Lewis Hamilton
2012,1,2012-03-18,1,15.0,1,1,1985-01-07,British,McLaren,British,Albert Park Grand Prix Circuit,Australia,Lewis Hamilton
2004,1,2004-03-07,12,1.0,11,12,1971-03-27,British,McLaren,British,Albert Park Grand Prix Circuit,Australia,David Coulthard
2003,1,2003-03-09,11,10.0,1,11,1971-03-27,British,McLaren,British,Albert Park Grand Prix Circuit,Australia,David Coulthard
2000,1,2000-03-12,2,0.0,5,2,1971-03-27,British,McLaren,British,Albert Park Grand Prix Circuit,Australia,David Coulthard
1999,1,1999-03-07,2,0.0,9,2,1971-03-27,British,McLaren,British,Albert Park Grand Prix Circuit,Australia,David Coulthard
1998,1,1998-03-08,2,6.0,1,2,1971-03-27,British,McLaren,British,Albert Park Grand Prix Circuit,Australia,David Coulthard
1997,1,1997-03-09,4,10.0,1,4,1971-03-27,British,McLaren,British,Albert Park Grand Prix Circuit,Australia,David Coulthard
1996,1,1996-03-10,13,0.0,37,13,1971-03-27,British,McLaren,British,Albert Park Grand Prix Circuit,Australia,David Coulthard
2006,3,2006-04-02,5,0.0,10,5,1975-09-20,Colombian,McLaren,British,Albert Park Grand Prix Circuit,Australia,Juan Pablo Montoya
2005,1,2005-03-06,9,3.0,1,9,1975-09-20,Colombian,McLaren,British,Albert Park Grand Prix Circuit,Australia,Juan Pablo Montoya
2000,1,2000-03-12,1,0.0,5,1,1968-09-28,Finnish,McLaren,British,Albert Park Grand Prix Circuit,Australia,Mika Häkkinen
1999,1,1999-03-07,1,0.0,37,1,1968-09-28,Finnish,McLaren,British,Albert Park Grand Prix Circuit,Australia,Mika Häkkinen
1998,1,1998-03-08,1,10.0,1,1,1968-09-28,Finnish,McLaren,British,Albert Park Grand Prix Circuit,Australia,Mika Häkkinen
1997,1,1997-03-09,6,4.0,1,6,1968-09-28,Finnish,McLaren,British,Albert Park Grand Prix Circuit,Australia,Mika Häkkinen
1996,1,1996-03-10,5,2.0,1,5,1968-09-28,Finnish,McLaren,British,Albert Park Grand Prix Circuit,Australia,Mika Häkkinen
2013,1,2013-03-17,15,0.0,1,15,1990-01-26,Mexican,McLaren,British,Albert Park Grand Prix Circuit,Australia,Sergio Pérez
2014,1,2014-03-16,4,18.0,1,4,1992-10-05,Danish,McLaren,British,Albert Park Grand Prix Circuit,Australia,Kevin Magnussen
2015,1,2015-03-15,17,0.0,54,18,1992-10-05,Danish,McLaren,British,Albert Park Grand Prix Circuit,Australia,Kevin Magnussen
2019,1,2019-03-17,18,0.0,5,18,1994-09-01,Spanish,McLaren,British,Albert Park Grand Prix Circuit,Australia,Carlos Sainz
2017,1,2017-03-26,18,0.0,12,18,1992-03-26,Belgian,McLaren,British,Albert Park Grand Prix Circuit,Australia,Stoffel Vandoorne
2018,1,2018-03-25,11,2.0,1,12,1992-03-26,Belgian,McLaren,British,Albert Park Grand Prix Circuit,Australia,Stoffel Vandoorne
2019,1,2019-03-17,8,0.0,11,8,1999-11-13,British,McLaren,British,Albert Park Grand Prix Circuit,Australia,Lando Norris
2005,1,2005-03-06,11,8.0,1,11,1972-05-23,Brazilian,Ferrari,Italian,Albert Park Grand Prix Circuit,Australia,Rubens Barrichello
2004,1,2004-03-07,2,8.0,1,2,1972-05-23,Brazilian,Ferrari,Italian,Albert Park Grand Prix Circuit,Australia,Rubens Barrichello
2003,1,2003-03-09,2,0.0,3,2,1972-05-23,Brazilian,Ferrari,Italian,Albert Park Grand Prix Circuit,Australia,Rubens Barrichello
2000,1,2000-03-12,4,6.0,1,4,1972-05-23,Brazilian,Ferrari,Italian,Albert Park Grand Prix Circuit,Australia,Rubens Barrichello
2010,2,2010-03-28,3,12.0,1,3,1981-07-29,Spanish,Ferrari,Italian,Albert Park Grand Prix Circuit,Australia,Fernando Alonso
2011,1,2011-03-27,5,12.0,1,5,1981-07-29,Spanish,Ferrari,Italian,Albert Park Grand Prix Circuit,Australia,Fernando Alonso
2012,1,2012-03-18,12,10.0,1,12,1981-07-29,Spanish,Ferrari,Italian,Albert Park Grand Prix Circuit,Australia,Fernando Alonso
2013,1,2013-03-17,5,18.0,1,5,1981-07-29,Spanish,Ferrari,Italian,Albert Park Grand Prix Circuit,Australia,Fernando Alonso
2014,1,2014-03-16,5,12.0,1,5,1981-07-29,Spanish,Ferrari,Italian,Albert Park Grand Prix Circuit,Australia,Fernando Alonso
2015,1,2015-03-15,4,15.0,1,4,1987-07-03,German,Ferrari,Italian,Albert Park Grand Prix Circuit,Australia,Sebastian Vettel
2016,1,2016-03-20,3,15.0,1,3,1987-07-03,German,Ferrari,Italian,Albert Park Grand Prix Circuit,Australia,Sebastian Vettel
2017,1,2017-03-26,2,25.0,1,2,1987-07-03,German,Ferrari,Italian,Albert Park Grand Prix Circuit,Australia,Sebastian Vettel
2018,1,2018-03-25,3,25.0,1,3,1987-07-03,German,Ferrari,Italian,Albert Park Grand Prix Circuit,Australia,Sebastian Vettel
2019,1,2019-03-17,3,12.0,1,3,1987-07-03,German,Ferrari,Italian,Albert Park Grand Prix Circuit,Australia,Sebastian Vettel
2009,1,2009-03-29,7,0.0,24,9,1979-10-17,Finnish,Ferrari,Italian,Albert Park Grand Prix Circuit,Australia,Kimi Räikkönen
2008,1,2008-03-16,15,1.0,5,16,1979-10-17,Finnish,Ferrari,Italian,Albert Park Grand Prix Circuit,Australia,Kimi Räikkönen
2007,1,2007-03-18,1,10.0,1,1,1979-10-17,Finnish,Ferrari,Italian,Albert Park Grand Prix Circuit,Australia,Kimi Räikkönen
2014,1,2014-03-16,11,6.0,1,12,1979-10-17,Finnish,Ferrari,Italian,Albert Park Grand Prix Circuit,Australia,Kimi Räikkönen
2015,1,2015-03-15,5,0.0,36,5,1979-10-17,Finnish,Ferrari,Italian,Albert Park Grand Prix Circuit,Australia,Kimi Räikkönen
2016,1,2016-03-20,4,0.0,5,4,1979-10-17,Finnish,Ferrari,Italian,Albert Park Grand Prix Circuit,Australia,Kimi Räikkönen
2017,1,2017-03-26,4,12.0,1,4,1979-10-17,Finnish,Ferrari,Italian,Albert Park Grand Prix Circuit,Australia,Kimi Räikkönen
2018,1,2018-03-25,2,15.0,1,2,1979-10-17,Finnish,Ferrari,Italian,Albert Park Grand Prix Circuit,Australia,Kimi Räikkönen
2009,1,2009-03-29,6,0.0,22,7,1981-04-25,Brazilian,Ferrari,Italian,Albert Park Grand Prix Circuit,Australia,Felipe Massa
2008,1,2008-03-16,4,0.0,5,4,1981-04-25,Brazilian,Ferrari,Italian,Albert Park Grand Prix Circuit,Australia,Felipe Massa
2007,1,2007-03-18,22,3.0,1,16,1981-04-25,Brazilian,Ferrari,Italian,Albert Park Grand Prix Circuit,Australia,Felipe Massa
2006,3,2006-04-02,15,0.0,3,16,1981-04-25,Brazilian,Ferrari,Italian,Albert Park Grand Prix Circuit,Australia,Felipe Massa
2010,2,2010-03-28,5,15.0,1,5,1981-04-25,Brazilian,Ferrari,Italian,Albert Park Grand Prix Circuit,Australia,Felipe Massa
2011,1,2011-03-27,8,6.0,1,8,1981-04-25,Brazilian,Ferrari,Italian,Albert Park Grand Prix Circuit,Australia,Felipe Massa
2012,1,2012-03-18,16,0.0,4,16,1981-04-25,Brazilian,Ferrari,Italian,Albert Park Grand Prix Circuit,Australia,Felipe Massa
2013,1,2013-03-17,4,12.0,1,4,1981-04-25,Brazilian,Ferrari,Italian,Albert Park Grand Prix Circuit,Australia,Felipe Massa
2006,3,2006-04-02,10,0.0,3,11,1969-01-03,German,Ferrari,Italian,Albert Park Grand Prix Circuit,Australia,Michael Schumacher
2005,1,2005-03-06,19,0.0,3,18,1969-01-03,German,Ferrari,Italian,Albert Park Grand Prix Circuit,Australia,Michael Schumacher
2004,1,2004-03-07,1,10.0,1,1,1969-01-03,German,Ferrari,Italian,Albert Park Grand Prix Circuit,Australia,Michael Schumacher
2003,1,2003-03-09,1,5.0,1,1,1969-01-03,German,Ferrari,Italian,Albert Park Grand Prix Circuit,Australia,Michael Schumacher
2000,1,2000-03-12,3,10.0,1,3,1969-01-03,German,Ferrari,Italian,Albert Park Grand Prix Circuit,Australia,Michael Schumacher
1999,1,1999-03-07,3,0.0,11,3,1969-01-03,German,Ferrari,Italian,Albert Park Grand Prix Circuit,Australia,Michael Schumacher
1998,1,1998-03-08,3,0.0,5,3,1969-01-03,German,Ferrari,Italian,Albert Park Grand Prix Circuit,Australia,Michael Schumacher
1997,1,1997-03-09,3,6.0,1,3,1969-01-03,German,Ferrari,Italian,Albert Park Grand Prix Circuit,Australia,Michael Schumacher
1996,1,1996-03-10,4,0.0,23,4,1969-01-03,German,Ferrari,Italian,Albert Park Grand Prix Circuit,Australia,Michael Schumacher
1999,1,1999-03-07,6,10.0,1,6,1965-11-10,British,Ferrari,Italian,Albert Park Grand Prix Circuit,Australia,Eddie Irvine
1998,1,1998-03-08,8,3.0,11,8,1965-11-10,British,Ferrari,Italian,Albert Park Grand Prix Circuit,Australia,Eddie Irvine
1997,1,1997-03-09,5,0.0,4,5,1965-11-10,British,Ferrari,Italian,Albert Park Grand Prix Circuit,Australia,Eddie Irvine
1996,1,1996-03-10,3,4.0,1,3,1965-11-10,British,Ferrari,Italian,Albert Park Grand Prix Circuit,Australia,Eddie Irvine
2019,1,2019-03-17,5,10.0,1,5,1997-10-16,Monegasque,Ferrari,Italian,Albert Park Grand Prix Circuit,Australia,Charles Leclerc
1999,1,1999-03-07,4,2.0,1,4,1972-05-23,Brazilian,Stewart,British,Albert Park Grand Prix Circuit,Australia,Rubens Barrichello
1998,1,1998-03-08,14,0.0,6,14,1972-05-23,Brazilian,Stewart,British,Albert Park Grand Prix Circuit,Australia,Rubens Barrichello
1997,1,1997-03-09,11,0.0,5,11,1972-05-23,Brazilian,Stewart,British,Albert Park Grand Prix Circuit,Australia,Rubens Barrichello
1999,1,1999-03-07,13,0.0,66,13,1964-06-25,British,Stewart,British,Albert Park Grand Prix Circuit,Australia,Johnny Herbert
1998,1,1998-03-08,18,0.0,4,18,1973-07-04,Danish,Stewart,British,Albert Park Grand Prix Circuit,Australia,Jan Magnussen
1997,1,1997-03-09,19,0.0,22,19,1973-07-04,Danish,Stewart,British,Albert Park Grand Prix Circuit,Australia,Jan Magnussen
1996,1,1996-03-10,8,0.0,5,8,1972-05-23,Brazilian,Jordan,Irish,Albert Park Grand Prix Circuit,Australia,Rubens Barrichello
2000,1,2000-03-12,6,0.0,5,6,1974-07-13,Italian,Jordan,Irish,Albert Park Grand Prix Circuit,Australia,Jarno Trulli
2004,1,2004-03-07,15,0.0,7,15,1977-05-10,German,Jordan,Irish,Albert Park Grand Prix Circuit,Australia,Nick Heidfeld
2003,1,2003-03-09,13,0.0,6,13,1973-01-14,Italian,Jordan,Irish,Albert Park Grand Prix Circuit,Australia,Giancarlo Fisichella
1997,1,1997-03-09,14,0.0,20,14,1973-01-14,Italian,Jordan,Irish,Albert Park Grand Prix Circuit,Australia,Giancarlo Fisichella
1998,1,1998-03-08,9,0.0,4,9,1975-06-30,German,Jordan,Irish,Albert Park Grand Prix Circuit,Australia,Ralf Schumacher
